Release Date,Product Family,Product,Platform,Impact,Max Severity,Article,Article,Supercedence,Base Score
"Dec 13, 2022",Windows,Raw Image Extension,Windows 10 Version 1809 for x64-based Systems,Remote Code Execution,Important,Release Notes,https://support.microsoft.com/en-us/account-billing/get-updates-for-apps-and-games-in-microsoft-store-a1fe19c0-532d-ec47-7035-d1c5a1dd464f,,7.8
"Dec 13, 2022",Windows,Raw Image Extension,Windows 10 Version 1809 for 32-bit Systems,Remote Code Execution,Important,Release Notes,https://support.microsoft.com/en-us/account-billing/get-updates-for-apps-and-games-in-microsoft-store-a1fe19c0-532d-ec47-7035-d1c5a1dd464f,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.6/4.6.2,Windows 10 for 32-bit Systems,Remote Code Execution,Important,5021243,https://support.microsoft.com/help/5021243,5019970,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.6/4.6.2,Windows 10 for x64-based Systems,Remote Code Execution,Important,5021243,https://support.microsoft.com/help/5021243,5019970,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 20H2 for 32-bit Systems,Remote Code Execution,Important,5021086,https://support.microsoft.com/help/5021086,"5020686, 5018856, 5018543",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 21H1 for x64-based Systems,Remote Code Execution,Important,5021087,https://support.microsoft.com/help/5021087,"5020801, 5018857, 5018544",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 11 Version 22H2 for ARM64-based Systems,Remote Code Execution,Important,5020880,https://support.microsoft.com/help/5020880,"5020622, 5018341",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 20H2 for x64-based Systems,Remote Code Execution,Important,5021086,https://support.microsoft.com/help/5021086,"5020686, 5018856, 5018543",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 20H2 for ARM64-based Systems,Remote Code Execution,Important,5021086,https://support.microsoft.com/help/5021086,"5020686, 5018856, 5018543",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 21H1 for 32-bit Systems,Remote Code Execution,Important,5021087,https://support.microsoft.com/help/5021087,"5020801, 5018857, 5018544",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 21H2 for 32-bit Systems,Remote Code Execution,Important,5021088,https://support.microsoft.com/help/5021088,"5020694, 5018202",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 22H2 for ARM64-based Systems,Remote Code Execution,Important,5021089,https://support.microsoft.com/help/5021089,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 11 Version 22H2 for x64-based Systems,Remote Code Execution,Important,5020880,https://support.microsoft.com/help/5020880,"5020622, 5018341",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 22H2 for 32-bit Systems,Remote Code Execution,Important,5021089,https://support.microsoft.com/help/5021089,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 21H1 for ARM64-based Systems,Remote Code Execution,Important,5021087,https://support.microsoft.com/help/5021087,"5020801, 5018857, 5018544",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 21H2 for ARM64-based Systems,Remote Code Execution,Important,5021088,https://support.microsoft.com/help/5021088,"5020694, 5018202",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 10 Version 21H2 for x64-based Systems,Remote Code Execution,Important,5021088,https://support.microsoft.com/help/5021088,"5020694, 5018202",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for x64-based Systems Service Pack 2,Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for x64-based Systems Service Pack 2,Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for 32-bit Systems Service Pack 2,Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2,Windows Server 2008 for 32-bit Systems Service Pack 2,Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 8.1 for x64-based systems,Remote Code Execution,Important,5020868,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 8.1 for x64-based systems,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows RT 8.1,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 7 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 7 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 8.1 for 32-bit systems,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 8.1 for 32-bit systems,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012 R2 (Server Core installation),Remote Code Execution,Important,5020868,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012 R2 (Server Core installation),Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012 R2,Remote Code Execution,Important,5020868,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012 R2,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012,Remote Code Execution,Important,5021092,https://support.microsoft.com/help/5021092,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012,Remote Code Execution,Important,5021080,https://support.microsoft.com/help/5021080,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012 (Server Core installation),Remote Code Execution,Important,5021092,https://support.microsoft.com/help/5021092,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows Server 2012 (Server Core installation),Remote Code Execution,Important,5021080,https://support.microsoft.com/help/5021080,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 7 for 32-bit Systems Service Pack 1,Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2,Windows 7 for 32-bit Systems Service Pack 1,Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows 10 Version 22H2 for x64-based Systems,Remote Code Execution,Important,5021089,https://support.microsoft.com/help/5021089,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows 10 Version 22H2 for 32-bit Systems,Remote Code Execution,Important,5021089,https://support.microsoft.com/help/5021089,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows 10 Version 22H2 for ARM64-based Systems,Remote Code Execution,Important,5021089,https://support.microsoft.com/help/5021089,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows 7 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows 7 for x64-based Systems Service Pack 1,Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows 7 for 32-bit Systems Service Pack 1,Remote Code Execution,Important,5021091,https://support.microsoft.com/help/5021091,"5020689, 5018548",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5.1,Windows 7 for 32-bit Systems Service Pack 1,Remote Code Execution,Important,5021079,https://support.microsoft.com/help/5021079,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012 R2 (Server Core installation),Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012 R2 (Server Core installation),Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
